"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 21 00:10:43 GMT 2024","Tue May 21 00:10:43 GMT 2024","49","","","","ProfessorTurnosTest","Test1","Test1",""
"passed","Tue May 21 00:10:43 GMT 2024","Tue May 21 00:10:43 GMT 2024","6","","","","IntervaloTest","TestVerificarIntervalo","TestVerificarIntervalo",""
"passed","Tue May 21 00:10:43 GMT 2024","Tue May 21 00:10:43 GMT 2024","161","","","","Tests","Test1","Test1",""
